question,sql,similar_queries,db_name,expected_result
List the total number of customers and suppliers in each nation. Order by nation name.,"SELECT n_name AS nation_name, COUNT(DISTINCT c_custkey) AS total_customers, COUNT(DISTINCT s_suppkey) AS total_suppliers FROM nation LEFT JOIN customer ON n_nationkey = c_nationkey LEFT JOIN supplier ON n_nationkey = s_nationkey GROUP BY n_name;","1. Count customers and suppliers by region:

# Count customers and suppliers by region
nation_counts = regions.CALCULATE(
    region_name=name,
    n_customers=COUNT(nations.customers),
    n_suppliers=COUNT(nations.suppliers)
)",TPCH,"# CALCULATE the number of customers and suppliers for each nation, ordered by nation name
nation_counts = nations.CALCULATE(
    nation_name=name,
    num_customers=COUNT(customers),
    num_suppliers=COUNT(suppliers)
).ORDER_BY(nation_name.ASC())"
Find the top 5 nations with the highest number of orders placed by their customers in 1995.,"SELECT n_name AS nation_name, COUNT(o_orderkey) AS total_orders FROM nation JOIN customer ON n_nationkey = c_nationkey JOIN orders ON c_custkey = o_custkey WHERE o_orderdate >= '1995-01-01' AND o_orderdate <= '1995-12-31' GROUP BY n_name ORDER BY total_orders DESC LIMIT 5;","1. Top 5 nations by average order value in 1995:

orders_in_1995= customers.orders.WHERE(YEAR(order_date) == 1995)

top_5_nations = nations.CALCULATE(
    nation_name=name,
    average_orders= AVG(orders_in_1995), 
    order_count=COUNT(orders_in_1995)
).TOP_K(5, by=average_orders.DESC())",TPCH,"# Find the top 5 nations based on the count of orders placed by their customers in 1995
top_nations_by_orders_1995 = nations.CALCULATE(
    # Select the nation's name
    nation_name=name,
    # Count orders placed by customers of this nation, filtering for the year 1995
    order_count=COUNT(customers.orders.WHERE(YEAR(order_date) == 1995))
).TOP_K(
    # Select the top 5
    5,
    # Order by the calculated order_count in descending order
    by=order_count.DESC()
)"
"Find the region name with the highest total order value in 1996. The total order value is defined as potential revenue, defined as the sum of extended_price * (1 - discount).","SELECT r_name AS region_name, SUM(l_extendedprice * (1 - l_discount)) AS total_order_value FROM region JOIN nation ON r_regionkey = n_regionkey JOIN customer ON n_nationkey = c_nationkey JOIN orders ON c_custkey = o_custkey JOIN lineitem ON o_orderkey = l_orderkey WHERE o_orderdate >= '1996-01-01' AND o_orderdate <= '1996-12-31' GROUP BY r_name ORDER BY total_order_value DESC LIMIT 1;",,TPCH,"# CALCULATE the total order value for each region in 1996
region_order_values_1996 = regions.WHERE(
  # Ensure the region HAS customers with orders to avoid unnecessary calculations
  HAS(nations.customers.orders) == 1
).CALCULATE(
    # Select the region name
    region_name=name,
    # CALCULATE the total order value for the region in 1996
    total_order_value=SUM(
        # Navigate through nations, customers, orders
        nations.customers.orders.WHERE(
            # Filter orders placed in 1996
            YEAR(order_date) == 1996
        # Navigate to the line items of the filtered orders
        ).lines.CALCULATE(
            # CALCULATE the value for each line item as per the definition
            line_value=extended_price * (1 - discount)
        # Select the calculated line value to be summed
        ).line_value
    )
# Select the top 1 region based on the calculated total order value in descending order
).TOP_K(1, by=total_order_value.DESC())

# Assign the final result to the variable 'result'
result = region_order_values_1996"
Find the top 3 regions with the most distinct customers.,"SELECT r_name AS region_name, COUNT(DISTINCT c_custkey) AS distinct_customers FROM region JOIN nation ON r_regionkey = n_regionkey JOIN customer ON n_nationkey = c_nationkey GROUP BY r_name ORDER BY distinct_customers DESC LIMIT 3;","1. Find the top 10 with the most distinct suppliers

top_regions = regions.CALCULATE(
    region_name=name,
    suppliers_count=NDISTINCT(nations.suppliers.key))
).TOP_K(10, by=customer_count.DESC())""
",TPCH,"top_regions_by_customers = regions.CALCULATE(
    region_name=name,
    distinct_customer_count=NDISTINCT(nations.customers.key)
).TOP_K(3, by=distinct_customer_count.DESC())"
Find the names of all customers and number of orders placed in 1995 in Europe who have an account balance greater than $700 and placed at least one order in 1995. Sorted in descending order by the number of orders.,"SELECT c.c_name AS customer_name, COUNT(o.o_orderkey) AS order_count_1995 FROM customer c JOIN nation n ON c.c_nationkey = n.n_nationkey JOIN region r ON n.n_regionkey = r.r_regionkey JOIN orders o ON c.c_custkey = o.o_custkey WHERE r.r_name = 'EUROPE' AND c.c_acctbal > 700 AND o.o_orderdate BETWEEN '1995-01-01' AND '1995-12-31' GROUP BY c.c_name, c.c_acctbal ORDER BY order_count_1995 DESC, c.c_acctbal DESC;",,TPCH,"european_customers_1995 = customers.WHERE(
    (nation.region.name == ""EUROPE"") &
    (acctbal > 700) &
    (HAS(orders.WHERE(YEAR(order_date) == 1995)) == 1)
).CALCULATE(
    customer_name=name,
    num_orders_1995=COUNT(orders.WHERE(YEAR(order_date) == 1995))
).ORDER_BY(num_orders_1995.DESC())"
"Find suppliers in each nation who have a total availqty of more than 1000 units of parts with 'BRASS' in their type. List the supplier name, nation name, and the sum of the parts supplied, sorted in descending order by parts supplied.","SELECT s.s_name AS SupplierName, n.n_name AS Nation, SUM(ps.ps_availqty) AS TotalUnitsSupplied FROM supplier s JOIN nation n ON s.s_nationkey = n.n_nationkey JOIN partsupp ps ON s.s_suppkey = ps.ps_suppkey JOIN part p ON ps.ps_partkey = p.p_partkey WHERE p.p_type LIKE '%BRASS%' GROUP BY s.s_name, n.n_name HAVING SUM(ps.ps_availqty) > 1000 ORDER BY TotalUnitsSupplied DESC;",,TPCH,"# CALCULATE the total available quantity of 'BRASS' parts for each supplier
supplier_brass_parts_sum = suppliers.CALCULATE(
    s_name=name,
    n_name=nation.name,  # Get the nation name associated with the supplier
    total_brass_availqty=SUM(
        # Filter supply records to include only those linked to parts containing 'BRASS' in their type
        supply_records.WHERE(CONTAINS(part.part_type, 'BRASS')).availqty
    )
)

# Filter suppliers WHERE the total available quantity of 'BRASS' parts is greater than 1000
filtered_suppliers = supplier_brass_parts_sum.WHERE(total_brass_availqty > 1000)

# Select the required fields (supplier name, nation name, total quantity) and sort the results
result = filtered_suppliers.CALCULATE(
    supplier_name=s_name,
    nation_name=n_name,
    sum_parts_supplied=total_brass_availqty
).ORDER_BY(sum_parts_supplied.DESC())"
Find parts names that are supplied by at least five different nations. Show the part name and the count of distinct nations that supply each part. Sorted in descending order by count of nations,"SELECT p.P_NAME AS PartName, COUNT(DISTINCT n.N_NAME) AS NumberOfNations FROM PART p JOIN PARTSUPP ps ON p.P_PARTKEY = ps.PS_PARTKEY JOIN SUPPLIER s ON ps.PS_SUPPKEY = s.S_SUPPKEY JOIN NATION n ON s.S_NATIONKEY = n.N_NATIONKEY GROUP BY p.P_NAME HAVING COUNT(DISTINCT n.N_NAME) > 5 ORDER BY NumberOfNations DESC;",,TPCH,"# PARTITION parts by name and CALCULATE the distinct count of nations for suppliers of each part
parts_by_name = parts.PARTITION(name=""part_groups"", by=(name)).CALCULATE(
    part_name=name,
    # Count the distinct nations associated with the suppliers of the parts in this group
    distinct_nations_count=NDISTINCT(parts.supply_records.supplier.nation.key)
)

# Filter the results to include only those parts supplied by at least five different nations
result = parts_by_name.WHERE(distinct_nations_count >= 5)"
"Which 10 customers purchased the highest quantity of products with 'green' in the product name during 1998? Provide their names, adress and the total quantity ordered.","SELECT c_name AS customer_name, c_address AS customer_address, SUM(l_quantity) AS total_quantity_ordered FROM customer JOIN orders ON c_custkey = o_custkey JOIN lineitem ON o_orderkey = l_orderkey JOIN part ON l_partkey = p_partkey WHERE p_name LIKE '%green%' AND strftime('%Y', o_orderdate) = '1998' GROUP BY c_name, c_address ORDER BY total_quantity_ordered DESC LIMIT 10;",,TPCH,"# Find the top 10 customers by quantity of 'green' parts ordered in 1998
top_green_buyers = customers.CALCULATE(
    # Select customer name
    customer_name=name,
    # Select customer address
    customer_address=address,
    # CALCULATE the total quantity of 'green' items ordered in 1998
    total_quantity_green_1998=SUM(
        # Access customer orders
        orders
        # Filter orders placed in 1998
        .WHERE(YEAR(order_date) == 1998)
        # Access line items for those orders
        .lines
        # Filter line items WHERE the part name CONTAINS 'green'
        .WHERE(CONTAINS(part.name, 'green'))
        # Get the quantity for the filtered line items
        .quantity
    )
# Filter out customers who didn't order any relevant items (quantity > 0)
).WHERE(total_quantity_green_1998 > 0).TOP_K(
    # Select the top 10
    10,
    # Order by the calculated total quantity in descending order
    by=total_quantity_green_1998.DESC()
)"
Which is the average discount applied on orders for each market segment? Sorted in descending order.,"SELECT c_mktsegment AS market_segment, AVG(l_discount) AS average_discount FROM customer JOIN orders ON c_custkey = o_custkey JOIN lineitem ON o_orderkey = l_orderkey GROUP BY c_mktsegment;","1. Average shipping delay by supplier:
```python
avg_shipping_delay_by_supplier = suppliers.CALCULATE(
    supplier_name=name,
    average_shipping_delay=AVG(lines.ship_date - lines.commit_date)
)
```
2. Average price by part size:
```python
avg_price_by_part_size = GROUP_BY(
    parts,
    name= ""part"",
 by=(part_size)
).CALCULATE(
 part_size= part_size,
 average_retail_price= AVG(part.retail_price)
)```",TPCH,"import pydough

# CALCULATE the average discount per market segment
avg_discount_per_segment = customers.PARTITION(name=""segments"", by=mktsegment).CALCULATE(
    segment_name=mktsegment,
    # CALCULATE the average discount across all lines for orders placed by customers in this segment
    avg_discount=AVG(customers.orders.lines.discount)
).ORDER_BY(avg_discount.DESC()) # Sort by the calculated average discount descending"
What were the 20 most popular products (parts) within each market segment in 1998?,"WITH ProductPopularity AS (SELECT c_mktsegment AS market_segment, p_name AS product_name, SUM(l_quantity) AS total_quantity FROM customer JOIN orders ON c_custkey = o_custkey JOIN lineitem ON o_orderkey = l_orderkey JOIN part ON l_partkey = p_partkey WHERE strftime('%Y', o_orderdate) = '1998' GROUP BY c_mktsegment, p_name) SELECT market_segment, product_name, total_quantity FROM (SELECT market_segment, product_name, total_quantity, ROW_NUMBER() OVER (PARTITION BY market_segment ORDER BY total_quantity DESC) AS rank FROM ProductPopularity) WHERE rank <= 20;",,TPCH,"# Step 1: Filter lines for 1998 and gather necessary info (segment, part name)
# Navigate from lines -> order -> customer -> mktsegment and lines -> part -> name
lines_1998_info = lines.WHERE(YEAR(order.order_date) == 1998).CALCULATE(
    mktsegment = order.customer.mktsegment,
    part_name = part.name
)

# Step 2: Group by market segment and part name, summing the quantity
# PARTITION the filtered lines info by segment and part name
part_totals_per_segment = lines_1998_info.PARTITION(
    name=""part_segment_groups"", by=(mktsegment, part_name)
).CALCULATE(
    mktsegment = mktsegment,
    part_name = part_name,
    # SUM the quantity from the original lines collection context within the PARTITION group
    total_quantity = SUM(lines.quantity)
)

# Step 3: Group again by market segment to enable RANKING parts within each segment
# PARTITION the results from Step 2 by market segment
segment_groups = part_totals_per_segment.PARTITION(
    name=""segments"", by=(mktsegment)
)

# Step 4: Rank parts within each segment based on total_quantity
# Access the inner groups (parts per segment) via .part_segment_groups (the name given in Step 2 PARTITION)
# CALCULATE the rank for each part within its segment ('segments' PARTITION)
ranked_parts_in_segment = segment_groups.part_segment_groups.CALCULATE(
    mktsegment, # Inherited from 'segments' PARTITION context
    part_name,
    total_quantity,
    # Rank using total_quantity descending, partitioned by the 'segments' ancestor
    rank_in_segment = RANKING(by=total_quantity.DESC(), per=""segments"")
)

# Step 5: Filter to keep only the top 20 ranks per segment
top_20_parts_per_segment = ranked_parts_in_segment.WHERE(rank_in_segment <= 20)

# Step 6: Select the final required fields (market segment, part name, total quantity)
# Order by market segment and then by quantity descending for clear presentation
result = top_20_parts_per_segment.CALCULATE(
    mktsegment=mktsegment,
    part_name=part_name,
    total_quantity=total_quantity
).ORDER_BY(mktsegment.ASC(), total_quantity.DESC())"
