question,sql,response,extracted_python_code
List the total number of customers and suppliers in each nation,"SELECT n_name AS nation_name, COUNT(DISTINCT c_custkey) AS total_customers, COUNT(DISTINCT s_suppkey) AS total_suppliers FROM nation LEFT JOIN customer ON n_nationkey = c_nationkey LEFT JOIN supplier ON n_nationkey = s_nationkey GROUP BY n_name;","```python
nation_summary = nations.CALCULATE(
    nation_name=name,
    total_customers=COUNT(customers),
    total_suppliers=COUNT(suppliers)
)
```
","nation_summary = nations.CALCULATE(
    nation_name=name,
    total_customers=COUNT(customers),
    total_suppliers=COUNT(suppliers)
)"
Find the top 5 nations with the highest number of orders placed by their customers in 1995.,"SELECT n_name AS nation_name, COUNT(o_orderkey) AS total_orders FROM nation JOIN customer ON n_nationkey = c_nationkey JOIN orders ON c_custkey = o_custkey WHERE o_orderdate >= '1995-01-01' AND o_orderdate <= '1995-12-31' GROUP BY n_name ORDER BY total_orders DESC LIMIT 5;","```python
# Calculate the number of orders placed in 1995 for each nation.
top_nations_by_orders = nations.CALCULATE(
    nation_name=name,
    order_count=COUNT(customers.orders.WHERE(YEAR(order_date) == 1995))
).TOP_K(5, by=order_count.DESC())
```
","# Calculate the number of orders placed in 1995 for each nation.
top_nations_by_orders = nations.CALCULATE(
    nation_name=name,
    order_count=COUNT(customers.orders.WHERE(YEAR(order_date) == 1995))
).TOP_K(5, by=order_count.DESC())"
"Find the region with the highest total order value in 1996. The total order value is defined as potential revenue, defined as the sum of extended_price * (1 - discount)","SELECT r_name AS region_name, SUM(l_extendedprice * l_quantity) AS total_order_value FROM region JOIN nation ON r_regionkey = n_regionkey JOIN customer ON n_nationkey = c_nationkey JOIN orders ON c_custkey = o_custkey JOIN lineitem ON o_orderkey = l_orderkey WHERE o_orderdate >= '1996-01-01' AND o_orderdate <= '1996-12-31' GROUP BY r_name ORDER BY total_order_value DESC LIMIT 1;","```python
region_revenue = regions.CALCULATE(
    region_name=name,
    total_revenue=SUM(nations.customers.orders.WHERE(YEAR(order_date) == 1996).lines.CALCULATE(potential_revenue = extended_price * (1 - discount)).potential_revenue)
).ORDER_BY(total_revenue.DESC()).TOP_K(1)
```","region_revenue = regions.CALCULATE(
    region_name=name,
    total_revenue=SUM(nations.customers.orders.WHERE(YEAR(order_date) == 1996).lines.CALCULATE(potential_revenue = extended_price * (1 - discount)).potential_revenue)
).ORDER_BY(total_revenue.DESC()).TOP_K(1)"
Find the top 3 regions with the most distinct customers,"SELECT r_name AS region_name, COUNT(DISTINCT c_custkey) AS distinct_customers FROM region JOIN nation ON r_regionkey = n_regionkey JOIN customer ON n_nationkey = c_nationkey GROUP BY r_name ORDER BY distinct_customers DESC LIMIT 3;","```python
region_customer_counts = regions.CALCULATE(
    region_name=name,
    distinct_customer_count=NDISTINCT(nations.customers.key)
).TOP_K(3, by=distinct_customer_count.DESC())
```
","region_customer_counts = regions.CALCULATE(
    region_name=name,
    distinct_customer_count=NDISTINCT(nations.customers.key)
).TOP_K(3, by=distinct_customer_count.DESC())"
Find the names of all customers and number of orders placed in Europe who have an account balance greater than $700 and placed at least one order in 1995. Do not use HAS function,SELECT DISTINCT c_name AS customer_name FROM customer JOIN nation ON c_nationkey = n_nationkey JOIN region ON n_regionkey = r_regionkey JOIN orders ON c_custkey = o_custkey WHERE r_name = 'EUROPE' AND c_acctbal > 700 AND o_orderdate >= '1995-01-01' AND o_orderdate <= '1995-12-31';,"```python
european_customers_high_balance_orders_1995 = customers.WHERE(
    (nation.region.name == ""EUROPE"") & (acctbal > 700) & (COUNT(orders.WHERE(YEAR(order_date) == 1995)) > 0) 
).CALCULATE(
    customer_name = name,
    order_count = COUNT(orders)
)
```","european_customers_high_balance_orders_1995 = customers.WHERE(
    (nation.region.name == ""EUROPE"") & (acctbal > 700) & (COUNT(orders.WHERE(YEAR(order_date) == 1995)) > 0) 
).CALCULATE(
    customer_name = name,
    order_count = COUNT(orders)
)"
"Find suppliers in each nation who supply more than 1000 units of parts with 'BRASS' in their type. List the supplier name, nation name and sum of the parts supplied","SELECT s.s_name AS SupplierName, n.n_name AS Nation, SUM(ps.ps_availqty) AS TotalUnitsSupplied FROM supplier s JOIN nation n ON s.s_nationkey = n.n_nationkey JOIN partsupp ps ON s.s_suppkey = ps.ps_suppkey JOIN part p ON ps.ps_partkey = p.p_partkey WHERE p.p_type LIKE '%BRASS%' GROUP BY s.s_name, n.n_name HAVING SUM(ps.ps_availqty) > 1000 ORDER BY TotalUnitsSupplied DESC;","```python
supplier_brass_parts = suppliers.CALCULATE(
    supplier_name = name,
    nation_name = nation.name,
    total_brass_parts_supplied = SUM(supply_records.WHERE(part.part_type.CONTAINS('BRASS')).availqty)
).WHERE(total_brass_parts_supplied > 1000) 
```","supplier_brass_parts = suppliers.CALCULATE(
    supplier_name = name,
    nation_name = nation.name,
    total_brass_parts_supplied = SUM(supply_records.WHERE(part.part_type.CONTAINS('BRASS')).availqty)
).WHERE(total_brass_parts_supplied > 1000)"
Find parts that are supplied by at least five different nations. Show the part name and the count of distinct nations that supply each part,"SELECT p.P_NAME AS PartName, COUNT(DISTINCT n.N_NAME) AS NumberOfNations FROM PART p JOIN PARTSUPP ps ON p.P_PARTKEY = ps.PS_PARTKEY JOIN SUPPLIER s ON ps.PS_SUPPKEY = s.S_SUPPKEY JOIN NATION n ON s.S_NATIONKEY = n.N_NATIONKEY GROUP BY p.P_NAME HAVING COUNT(DISTINCT n.N_NAME) > 5 ORDER BY NumberOfNations DESC;","```python
part_nation_counts = parts.CALCULATE(
    part_name = name,
    supplying_nations = NDISTINCT(supply_records.supplier.nation)
).WHERE(supplying_nations >= 5) 
```
","part_nation_counts = parts.CALCULATE(
    part_name = name,
    supplying_nations = NDISTINCT(supply_records.supplier.nation)
).WHERE(supplying_nations >= 5)"
"Which 10 customers purchased the highest quantity of products with ""green"" in the product name during 1998? Provide their names, adress and the total quantity ordered.","SELECT c_name AS customer_name, c_address AS customer_address, SUM(l_quantity) AS total_quantity_ordered FROM customer JOIN orders ON c_custkey = o_custkey JOIN lineitem ON o_orderkey = l_orderkey JOIN part ON l_partkey = p_partkey WHERE p_name LIKE '%green%' AND strftime('%Y', o_orderdate) = '1998' GROUP BY c_name, c_address ORDER BY total_quantity_ordered DESC LIMIT 10;","```python
top_green_customers = (
    customers.CALCULATE(
        customer_name = name,
        customer_address = address,
        total_quantity = SUM(orders.lines.WHERE(YEAR(order.order_date) == 1998).WHERE(CONTAINS(part.name, ""green"")).quantity)
    )
    .ORDER_BY(total_quantity.DESC())
    .TOP_K(10)
)
```
","top_green_customers = (
    customers.CALCULATE(
        customer_name = name,
        customer_address = address,
        total_quantity = SUM(orders.lines.WHERE(YEAR(order.order_date) == 1998).WHERE(CONTAINS(part.name, ""green"")).quantity)
    )
    .ORDER_BY(total_quantity.DESC())
    .TOP_K(10)
)"
Wich is the average discount applied on orders for each market segment?,"SELECT c_mktsegment AS market_segment, AVG(l_discount) AS average_discount FROM customer JOIN orders ON c_custkey = o_custkey JOIN lineitem ON o_orderkey = l_orderkey GROUP BY c_mktsegment;","```python
avg_discount_by_mktsegment = customers.CALCULATE(
    mkt=mktsegment,
    average_discount=AVG(orders.lines.discount)
).PARTITION(name='discount', by=mkt).CALCULATE(
    mkt=mkt,
    avg_discount=AVG(discount.average_discount)
)
```","avg_discount_by_mktsegment = customers.CALCULATE(
    mkt=mktsegment,
    average_discount=AVG(orders.lines.discount)
).PARTITION(name='discount', by=mkt).CALCULATE(
    mkt=mkt,
    avg_discount=AVG(discount.average_discount)
)"
What were the 20 most popular products within each market segment in 1998?,"WITH ProductPopularity AS (SELECT c_mktsegment AS market_segment, p_name AS product_name, SUM(l_quantity) AS total_quantity FROM customer JOIN orders ON c_custkey = o_custkey JOIN lineitem ON o_orderkey = l_orderkey JOIN part ON l_partkey = p_partkey WHERE strftime('%Y', o_orderdate) = '1998' GROUP BY c_mktsegment, p_name) SELECT market_segment, product_name, total_quantity FROM (SELECT market_segment, product_name, total_quantity, ROW_NUMBER() OVER (PARTITION BY market_segment ORDER BY total_quantity DESC) AS rank FROM ProductPopularity) WHERE rank <= 20;","```python
popular_products_1998 = PARTITION(
    Lines.WHERE(YEAR(order.order_date) == 1998),
    name=""segment_lines"", 
    by=order.customer.mktsegment
).CALCULATE(
    product_name = segment_lines.part.name,
    orders_count = COUNT(segment_lines.order)
).TOP_K(20, by=orders_count.DESC())
```","popular_products_1998 = PARTITION(
    Lines.WHERE(YEAR(order.order_date) == 1998),
    name=""segment_lines"", 
    by=order.customer.mktsegment
).CALCULATE(
    product_name = segment_lines.part.name,
    orders_count = COUNT(segment_lines.order)
).TOP_K(20, by=orders_count.DESC())"
