db_name,sql,question,source_file,split,dataset_name,query_id
GeoNuclearData,"SELECT Country FROM nuclear_power_plants WHERE Status = ""Operational"" GROUP BY Country ORDER BY count(Name) DESC LIMIT 10",What are the top 10 countries with most number of operational plants?,GeoNuclearData.json,main,KaggleDBQA,1
GeoNuclearData,"SELECT Name, Country FROM nuclear_power_plants WHERE Status = ""Planned""",What are the planed nuclear power plants and their located countries?,GeoNuclearData.json,main,KaggleDBQA,2
GeoNuclearData,SELECT ReactorModel FROM nuclear_power_plants GROUP BY ReactorModel ORDER BY count(*) DESC LIMIT 1,What’s the most used nuclear reactor model?,GeoNuclearData.json,main,KaggleDBQA,3
GeoNuclearData,"SELECT Country FROM nuclear_power_plants WHERE Name = ""Kaiga-4""",Which country is Kaiga-4 built in?,GeoNuclearData.json,main,KaggleDBQA,4
GeoNuclearData,"SELECT count(*) FROM nuclear_power_plants WHERE ReactorType = ""PHWR""",How many PHWR are there today?,GeoNuclearData.json,main,KaggleDBQA,5
GeoNuclearData,SELECT count(DISTINCT ReactorModel) FROM nuclear_power_plants,How many kinds of nuclear reactor model in the world?,GeoNuclearData.json,main,KaggleDBQA,6
GeoNuclearData,"SELECT count(*) FROM nuclear_power_plants WHERE Status = ""Shutdown""",How many nuclear power plants were shut down now?,GeoNuclearData.json,main,KaggleDBQA,7
GeoNuclearData,SELECT Country FROM nuclear_power_plants Group BY Country HAVING count(Name) > 3,How many countries have at least 3 nuclear power plants?,GeoNuclearData.json,main,KaggleDBQA,8
GeoNuclearData,SELECT Country FROM nuclear_power_plants GROUP BY Country ORDER BY count(name) DESC LIMIT 1,Which country has the most nuclear power plants?,GeoNuclearData.json,main,KaggleDBQA,9
GeoNuclearData,SELECT Country FROM nuclear_power_plants GROUP BY Country HAVING count(Name) = 1,Which country has only one nuclear power plants?,GeoNuclearData.json,main,KaggleDBQA,10
GeoNuclearData,SELECT Country FROM nuclear_power_plants GROUP BY Country ORDER BY sum(Capacity) DESC LIMIT 1,Which country has the most capacities of nuclear power plants?,GeoNuclearData.json,main,KaggleDBQA,11
GeoNuclearData,SELECT Country FROM nuclear_power_plants GROUP BY Country ORDER BY sum(Capacity) LIMIT 1,Which country has the least capacities of nuclear power plants?,GeoNuclearData.json,main,KaggleDBQA,12
GeoNuclearData,SELECT Country FROM nuclear_power_plants GROUP BY Country ORDER BY sum(Name) DESC LIMIT 3,What are the top 3 countries which have the most nuclear power plants?,GeoNuclearData.json,main,KaggleDBQA,13
GeoNuclearData,SELECT Country FROM nuclear_power_plants GROUP BY Country ORDER BY count(Name) DESC LIMIT 1,Which country has the most nuclear station?,GeoNuclearData.json,main,KaggleDBQA,14
GeoNuclearData,"SELECT Country FROM nuclear_power_plants WHERE Status = ""Shutdown"" GROUP BY Country ORDER BY count(Name) DESC LIMIT 1",Which county has the most nuclear station shut down?,GeoNuclearData.json,main,KaggleDBQA,15
GeoNuclearData,SELECT Name FROM nuclear_power_plants ORDER BY Capacity DESC LIMIT 1,What nuclear station has the largest nuclear power plant capacity?,GeoNuclearData.json,main,KaggleDBQA,16
GeoNuclearData,"SELECT count(*) FROM nuclear_power_plants WHERE Country = ""France"" and Status = ""Operational""",How many operating nuclear station in France?,GeoNuclearData.json,main,KaggleDBQA,17
GeoNuclearData,"SELECT count(Name) FROM nuclear_power_plants WHERE Status = ""Under Construction""",How many nuclear station are under construction?,GeoNuclearData.json,main,KaggleDBQA,18
GeoNuclearData,SELECT ReactorModel FROM nuclear_power_plants GROUP BY ReactorModel ORDER BY count(*) DESC LIMIT 1,What nuclear reactor model is the most popular?,GeoNuclearData.json,main,KaggleDBQA,19
GeoNuclearData,"SELECT Country FROM nuclear_power_plants WHERE Name = ""Chinon-A3""",Which country is Chinon-A3 in?,GeoNuclearData.json,main,KaggleDBQA,20
GeoNuclearData,"SELECT Name FROM nuclear_power_plants where Status = ""Operational"" and Country = ""Japan""",What are operational nuclear power plants in Japan called?,GeoNuclearData.json,main,KaggleDBQA,21
GeoNuclearData,SELECT Country FROM nuclear_power_plants ORDER BY OperationalFrom LIMIT 1,Which country first started using nuclear power plant(s)?,GeoNuclearData.json,main,KaggleDBQA,22
GeoNuclearData,"SELECT count(*) FROM nuclear_power_plants WHERE Country = ""Japan"" AND Status = ""Under Construction""",How many nuclear power plants are in preparation to be used in Japan?,GeoNuclearData.json,main,KaggleDBQA,23
GeoNuclearData,"SELECT Status FROM nuclear_power_plants WHERE Country = ""United States"" ORDER BY Capacity DESC LIMIT 1",What is the current situation of the nuclear power plant in the United States with the maximum capacity?,GeoNuclearData.json,main,KaggleDBQA,24
GeoNuclearData,"SELECT max(Capacity) FROM nuclear_power_plants WHERE ReactorType = ""PWR"" and Status = ""Operational""",What is the maximum capacity of existing pressurized water reactor?,GeoNuclearData.json,main,KaggleDBQA,25
GeoNuclearData,"SELECT Country FROM nuclear_power_plants WHERE Status = ""Under Construction"" GROUP BY Country ORDER BY count(*) DESC LIMIT 1",Which nation has the most nuclear plants under construction?,GeoNuclearData.json,main,KaggleDBQA,26
