query_id,source_file,split,question,sql,db_name, dt_name,dataset_name
0,dev.json,dev,How many singers do we have?,SELECT count(*) FROM singer,concert_singer,,spider_data
1,dev.json,dev,What is the total number of singers?,SELECT count(*) FROM singer,concert_singer,,spider_data
2,dev.json,dev,"Show name, country, age for all singers ordered by age from the oldest to the youngest.","SELECT name ,  country ,  age FROM singer ORDER BY age DESC",concert_singer,,spider_data
3,dev.json,dev,"What are the names, countries, and ages for every singer in descending order of age?","SELECT name ,  country ,  age FROM singer ORDER BY age DESC",concert_singer,,spider_data
4,dev.json,dev,"What is the average, minimum, and maximum age of all singers from France?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",concert_singer,,spider_data
5,dev.json,dev,"What is the average, minimum, and maximum age for all French singers?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",concert_singer,,spider_data
6,dev.json,dev,Show the name and the release year of the song by the youngest singer.,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",concert_singer,,spider_data
7,dev.json,dev,What are the names and release years for all the songs of the youngest singer?,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",concert_singer,,spider_data
8,dev.json,dev,What are all distinct countries where singers above age 20 are from?,SELECT DISTINCT country FROM singer WHERE age  >  20,concert_singer,,spider_data
9,dev.json,dev,What are  the different countries with singers above age 20?,SELECT DISTINCT country FROM singer WHERE age  >  20,concert_singer,,spider_data
10,dev.json,dev,Show all countries and the number of singers in each country.,"SELECT country ,  count(*) FROM singer GROUP BY country",concert_singer,,spider_data
11,dev.json,dev,How many singers are from each country?,"SELECT country ,  count(*) FROM singer GROUP BY country",concert_singer,,spider_data
12,dev.json,dev,List all song names by singers above the average age.,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),concert_singer,,spider_data
13,dev.json,dev,What are all the song names by singers who are older than average?,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),concert_singer,,spider_data
14,dev.json,dev,Show location and name for all stadiums with a capacity between 5000 and 10000.,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",concert_singer,,spider_data
15,dev.json,dev,What are the locations and names of all stations with capacity between 5000 and 10000?,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",concert_singer,,spider_data
16,dev.json,dev,What is the maximum capacity and the average of all stadiums ?,"select max(capacity), average from stadium",concert_singer,,spider_data
